mp_3099
first_init
init
bossfirst
0x1068	0xCE	Objective		Out of our way! Nayuta, let's finish it together!	
				I feel like we gained considerable strength.	
0xd6e2	0x06	NOI		ANI_NOD	
0xd706	0x98	NOI	#6A	That's right...	mp_0115 0x172f0
0xd737	0x98	NOI	#6A	But in the end, why did the idols go	mp_1099 0xe1bf
				out of control in the first place, I wonder.	
0xd7b1	0x06	NOI		ANI_GESTURE1	
0xd7da	0x98	NOI	#6A	They had a power level above normal.	mp_1099 0xe262
				If I were to say something is controlling them...	
0xd851	0x98	NOI	#6A	They attacked us as if they	mp_1099 0xe2d9
				had some intention...	
				Maybe I am overthinking it.	
0xd8c6	0x06	ALTO		ANI_GESTURE2	
0xd8f0	0x98	ALTO		...I have just one idea about that.	mp_1099 0xe378
0xd93b	0x6B	NOI		Surprise	
0xd990	0x06	ALTO		ANI_LOOK_AROUND	
0xd9bd	0x98	ALTO		Everyone, you are there, aren't you.	mp_1099 0xe445
				Will you show your faces?	
0xda22	0x06	NOI		ANI_THINK	
0xda48	0x98	NOI	#6A	Everyone...?	mp_1099 0xe4d0
0xda8c	0x41	None	#1W#2E#310c	──Wahaha, as expected, you are a good guesser.#0E	mp_1099 0xe514
0xdd44	0x6B	NOI		Exclamation	
0xdd6d	0x06	NOI		ANI_SURPRISE	
0xdd9e	0x06	ALTO		ANI_OJIGI	
0xddd3	0x98	ALTO	#6A	Gio, Elislette, Algol and Nemeas, too.	mp_1099 0xe85b
				It's been awhile.	
0xde35	0x06	Gio		ANI_GESTURE2	
0xde5e	0x98	Gio		Yes, it has.	mp_1099 0xe8e6
				I am happy to meet you again.	
0xdeae	0x06	Erislet		ANI_GESTURE1	
0xdedb	0x98	Erislet		Huhu, it's been a year.	mp_1099 0xe963
				How have you two been?	
0xdf33	0x06	NOI		ANI_COMPLAIN	
0xdf5c	0x98	NOI	#6A	Y-You people are...	mp_1099 0xe9e4
				the warden of each continent!?	
0xdfaf	0x98	NOI	#6A	Certainly, the warden should	mp_1099 0xea37
				have disappeared during the incident	
				a year ago...	
0xe026	0x06	Algorl		ANI_NOD	
0xe04d	0x98	Algorl		Yes, after the incident in the "Star Capital,"	mp_1099 0xead5
				we disappeared.	
0xe0ac	0x98	Algorl		Because the governing idols were defeated by Nayuta and Noi,	mp_1099 0xeb34
				we were released from our mission.	
0xe134	0x06	Nemeas		ANI_TALK	
0xe15c	0x98	Nemeas		However, due to the influence of the changes,	mp_1099 0xebe4
				our souls were resurrected along with	
				the idols of the four continents.	
0xe1f1	0x98	Nemeas		We are now assimilated into each continent	mp_1099 0xec79
				we used to govern, and now watch over	
				the activities of the wildlife there.	
0xe287	0x06	Nemeas		ANI_WAIT	
0xe2b7	0x98	ALTO	#6A	So that's what happened...	mp_1099 0xed3f
				Haha, so you have become like gods,	
				right?	
0xe325	0x06	ALTO		ANI_THANKS	
0xe34d	0x98	ALTO	#6A	But, I am glad to meet you again like this.	mp_1099 0xedd5
0xe3a3	0x06	Erislet		ANI_DENY	
0xe3cc	0x98	Erislet		At that time, we disappeared	mp_1099 0xee54
				without telling you...I am sorry.	
0xe434	0x98	Gio		We did not intend to excessively burden	mp_1099 0xeebc
				your hearts that stood against a great wall.	
				Please, forgive us.	
0xe4c1	0x06	ALTO		ANI_SCRATCH_HEAD	
0xe4ef	0x98	ALTO	#6A	Ahaha, whether I forgive you or not...	mp_1099 0xef77
				At least I want to say my thanks.	
0xe559	0x98	ALTO	#6A	Even the idols going out	mp_1099 0xefe1
				of control this time...	
				It was a test for us, wasn't it?	
0xe5d3	0x06	Algorl		ANI_NOD	
0xe5fa	0x98	Algorl		Yes...We understand everything that has	mp_1099 0xf082
				happened to Terra from start to end.	
0xe669	0x98	Algorl		In order to save the two Mythos,	mp_1099 0xf0f1
				I think we should offer our final	
				assistance.	
0xe6df	0x06	NOI		ANI_GESTURE1	
0xe708	0x98	NOI	#6A	T-Thank you very much...	mp_1099 0xf190
0xe74a	0x06	Nemeas		ANI_GESTURE2	
0xe776	0x98	Nemeas		Noi...	mp_1099 0xf1fe
				I heard that you are a new Noi without	
				memories of your past.	
0xe7da	0x98	Nemeas		Though there are various things that worry me...	mp_1099 0xf262
				Even so, Noi is Noi.	
0xe840	0x06	Nemeas		ANI_NOD	
0xe867	0x98	Nemeas		With Nayuta, I am certain you can save	mp_1099 0xf2ef
				Masters Kureha and Cygna.	
0xe90c	0x98	NOI	#6A	Y-Yeah!	mp_0004 0x64d8
0xe93d	0x06	Gio		ANI_THINK	
0xe963	0x98	Gio		Hmm, even so...	mp_1099 0xf3eb
				Noi's respectful language is	
				quite fitting.	
0xe9bb	0x06	Gio		ANI_WAIT	
0xe9e8	0x06	Erislet		ANI_LAUGH	
0xea12	0x98	Erislet		Yes, that's true.	mp_1099 0xf49a
				It feels distinctly out of place.	
0xea67	0x98	Erislet		The previous Noi should absolutely never have	mp_1099 0xf4ef
				been able to use such respectful language.	
0xeae9	0x6B	NOI		Unknown	
0xeb44	0x98	NOI	#6A	I-Is that so...?	mp_1099 0xf5cc
0xeb9b	0x06	ALTO		ANI_GESTURE2	
0xebc5	0x98	ALTO	#6A	Ahaha, the previous Noi was	mp_1099 0xf64d
				much more frank.	
0xec13	0x98	ALTO	#6A	Well, for the current Noi,	mp_1099 0xf69b
				this is like a first meeting, so	
				it can't be helped.	
0xec8b	0x06	Gio		ANI_GESTURE2	
0xecb4	0x98	Gio		Even for a joke, the idol of the Astrolabe...	mp_1099 0xf73c
				Maybe it was thinking, how about a more	
				dignified-sounding warden this time?	
0xed4b	0x98	Gio		If you like, feel free to steal	mp_1099 0xf7d3
				the way I and Algol use our words.	
0xedb3	0x06	Algorl		ANI_DENY	
0xeddb	0x98	Algorl		...If you think about distinction between sex,	mp_1099 0xf863
				Nemeas is more appropriate.	
0xee4e	0x06	Erislet		ANI_SURPRISE	
0xee7b	0x98	Erislet		Y-You're making a retort,	mp_1099 0xf903
				Algol!?	
0xeebe	0x06	Erislet		ANI_COMPLAIN	
0xeeeb	0x98	Erislet		Or rather, isn't that	mp_1099 0xf973
				rude to me!?	
0xef37	0x6B	NOI		Sweatdrop	
0xef68	0x06	NOI		ANI_DEJECTED	
0xef91	0x98	NOI	#6A	No matter who it is,	mp_1099 0xfa19
				I will refrain...	
0xefec	0x06	ALTO		ANI_LAUGH	
0xf013	0x98	ALTO	#6A	Ahaha...	mp_0001c 0x5727
0xf054	0x06	Nemeas		ANI_LAUGH	
0xf08b	0x98	Nemeas	#2W	Huhu...I wish that this	mp_1099 0xfb13
				kind of time, of foolish talk,	
				would continue forever.	
0xf2a8	0x6B	ALTO		Exclamation	
0xf2da	0x6B	NOI		Exclamation	
0xf30b	0x06	ALTO		ANI_COMPLAIN	
0xf343	0x98	ALTO	#1W#6A	Everyone...!?	mp_1099 0xfdcb
0xf38c	0x06	Nemeas		ANI_GESTURE1	
0xf3c6	0x98	Nemeas	#0W	The mission of us, who have been	mp_1099 0xfe4e
				assimilated into the continents...	
				We must watch over them until the end...	
0xf46b	0x98	Nemeas	#4A	So to our being able to meet with you	mp_1099 0xfef3
				ends here.	
0xf4d5	0x98	NOI	#1W#6A	Oh...	mp_0101 0x1ff08
0xf507	0x06	ALTO		ANI_DEJECTED	
0xf53f	0x98	ALTO	#2W#6A	Is that so...	mp_1099 0xffc7
				That's sad.	
0xf585	0x06	Gio		ANI_GESTURE2	
0xf5bc	0x98	Gio	#0W	Heheh, so you are reluctant to part...	mp_1099 0x10044
				However, it cannot be helped.	
0xf637	0x98	Gio	#6A	We will be watching over you always.	mp_1099 0x100bf
				Carry out your mission properly.	
0xf6a5	0x06	Erislet		ANI_NOD	
0xf6db	0x98	Erislet	#1W	Masters Kureha and Selam	mp_1099 0x10163
				are waiting for you.	
0xf743	0x98	Erislet	#1W	As for our part,	mp_1099 0x101cb
				we intend to do our very best!	
0xf7ad	0x98	NOI	#1W#6A	Miss Elislette...	mp_1099 0x10235
0xf7eb	0x06	NOI		ANI_DENY	
0xf81e	0x98	NOI	#2W#6A	...No, Elis...	mp_1099 0x102a6
				Thank you.	
0xf871	0x06	Nemeas		ANI_GESTURE1	
0xf89d	0x98	Nemeas	#1W	When this time of change is over,	mp_1099 0x10325
				spin a new history with the true meaning	
				of Terra.	
0xf92c	0x98	Algorl	#3W	...And finally,	mp_1099 0x103b4
				We will grant you our	
				remaining power.	
0xf99b	0x98	Algorl	#1W	Please, accept it.	mp_1099 0x10423
0xf9da	0x06	Gio		ANI_USE_POWER	
0xfa04	0x06	Erislet		ANI_USE_POWER	
0xfa32	0x06	Algorl		ANI_USE_POWER	
0xfa5f	0x06	Nemeas		ANI_USE_POWER	
0xfd30	0x06	ALTO		ANI_HANDOVER1	
0xfdd1	0x40	UNDEF		Received a giant crystal.	mp_1099 0x10859
0xfe13	0xC1	System		obtained.	mp_0000 0x7558
0xfe96	0xC1	System		received.	mp_0000 0x12596
0xff3c	0x06	ALTO		ANI_WAIT	
0xff80	0x06	Gio		ANI_WAIT	
0xffa5	0x06	Erislet		ANI_WAIT	
0xffce	0x06	Algorl		ANI_WAIT	
0xfff6	0x06	Nemeas		ANI_WAIT	
0x10078	0x3F	Name		Wardens	mp_1099 0x10b00
0x10095	0x98	ALTO	#2W#240x#100y#N#2W	We leave the rest to you.	mp_1099 0x10b1d
				Ye of little courage...	
0x10364	0x6B	ALTO		Ellipsis	
0x10396	0x6B	NOI		Ellipsis	
0x103ef	0x06	ALTO		ANI_THANKS	
0x10417	0x98	ALTO		Everyone...	mp_1099 0x10e9f
				Please leave the rest to me.	
0x10496	0x98	NOI	#6A	...Let's get our preparations in order,	mp_1099 0x10f1e
				heading for the final battle.	
0x10504	0x06	NOI		ANI_GUTSPOSE	
0x1052d	0x98	NOI	#6A	To save Masters Kureha and Cygna!	mp_1099 0x10fb5
0x105b0	0x06	ALTO		ANI_NOD	
0x105d5	0x98	ALTO		Yeah!	mp_0001 0x1174e
0x10636	0x07	System	#3C	Quest [Crush the Four Idols] completed!	mp_1099 0x110be
EV_3_S15_temple3_top
0x10ac9	0x06	ALTO		ANI_LOOK_AROUND	
0x10b15	0x06	NOI		ANI_LOOK_AROUND	
0x10b41	0x98	ALTO		This is the top floor, huh...	
0x10b7e	0x98	ALTO		But it's strangely silent.	
0x10be8	0x98	NOI	#6A	It seems it's because Zext	
				has already left...	
0x10c37	0x98	NOI	#6A	Though the altar is above here,	
				be on your guard.	
0x10cb9	0x06	ALTO		ANI_NOD	
0x10cde	0x98	ALTO		Yeah, let's brace ourselves.	
SB_3_S16_noi_move
0x10e2f	0x6B	NOI		Unknown	
SB_3_S16_alto_move
0x10e9c	0x6B	ALTO		Unknown	
SB_3_S16_alto_move2
0x10f52	0x06	ALTO		ANI_STEP_F	
0x10f82	0x06	ALTO		ANI_TENSION_WAIT	
SB_3_S16_noi_move2
EV_3_S16_boss_battle
0x1127f	0x6B	ALTO		Surprise	
0x112b1	0x6B	NOI		Surprise	
0x1139e	0x98	NOI		There it is...	
				The Master Gear of Wind!	
0x113ed	0x98	ALTO		Thank goodness...we found it!	
0x114ce	0x06	ALTO		ANI_WAIT4	
0x114f5	0x98	ALTO	#6A	They really left it behind again...	
0x1153b	0x98	ALTO	#6A	It's as Selam said.	
0x11597	0x6B	ALTO		Surprise	
0x11685	0x06	ALTO		ANI_THINK2	
0x116b5	0x98	ALTO	#6A	Oh, speaking of that...	
				What is that on the back?	
0x11708	0x98	ALTO	#6A	It looks like a mural of some kind...	
0x11775	0x98	NOI	#6A	That was drawn	
				by the Mythos.	
0x117bd	0x98	NOI	#6A	That light in the center is	
				the source of all life, the	
				Power of Stars...	
0x11828	0x98	NOI	#6A	Using it,	
				the people on both sides	
				are guiding the world...	
0x1188b	0x06	ALTO		ANI_SURPRISE	
0x118b5	0x98	ALTO	#6A	Guiding the world...huh.	
				I heard that they created Terra, too...	
0x11919	0x98	ALTO	#6A	They are like what we call	
				"Gods" in my world.	
0x1198e	0x98	NOI	#0W#6A#12S	...But, from the start they were...	
0x11a26	0x98	ALTO	#6A	Huh, were you saying something?	
0x11ab3	0x06	NOI		ANI_DENY	
0x11ad8	0x98	NOI	#6A	...N-Nevermind.	
0x11b09	0x98	NOI	#6A	Anyway...	
				Shall we collect the Master Gear now?	
0x11b63	0x06	ALTO		ANI_NOD	
0x11b88	0x98	ALTO	#6A	...Yes, let's.	
0x11bb9	0x98	ALTO	#6A	With this, we can revive the Yupina Grass,	
				and save my sister──	
0x11c52	0x6B	ALTO		Surprise	
0x11c7c	0x6B	NOI		Surprise	
0x11e4e	0x98	ALTO	#16S	What...!?	mp_1100 0x4966
0x11e83	0x98	NOI	#16S	The altar is...!	
0x11f7d	0x06	e150_0		ANI_FLY	
0x12026	0x06	e150_0		ANI_TYAKUTI	
0x120a4	0x6B	ALTO		Exclamation	
0x120ce	0x06	ALTO		ANI_SURPRISE_WEAK	
0x120fd	0x6B	NOI		Exclamation	
0x1212e	0x98	ALTO	#6A	Tch...a monster!?	
0x12182	0x06	e150_1		ANI_FLY	
0x1222b	0x06	e150_1		ANI_TYAKUTI	
0x122ab	0x06	e150_2		ANI_FLY	
0x12354	0x06	e150_2		ANI_TYAKUTI	
0x12387	0x98	NOI		I-It's not...!	
				...This is...	
0x12429	0x06	b002		ANI_BEFORE	
0x125f8	0x06	b002		ANI_APPEAR0	
0x126b2	0x98	NOI	#1W#18S	The Idol of Heimmel!	
0x126fa	0xBC	ALTO		Exclamation	
0x12746	0x98	ALTO	#1W#16S#8M	Watch out!	
0x1278e	0x06	b002		ANI_APPEAR2	
0x12a69	0x98	ALTO	#1W#6A	Guh...	
				Did that Selam	
				set this up for us!?	
0x12ae2	0x98	NOI	#0W#6A	Let's finish it, Nayuta!	
0x12b1f	0x06	NOI		ANI_GUTSPOSE	
0x12b56	0x98	NOI	#0W#6A	To take back the Master Gear...	
				And save your sister!	
0x12bb9	0x06	ALTO		ANI_KEN_WO_KAMAERU_C	
0x12bf9	0x98	ALTO	#1W#16S#6A	Got it!!	
0x12c60	0x06	b002		ANI_APPEAR4	
0x12cc9	0x06	PLAYER1		ANI_WAIT	
0x12cf2	0x06	PLAYER2		ANI_WAIT	
EV_3_S17_get_gear_3rd
0x1329e	0x06	NOI		ANI_GOODIDEA	
0x132cf	0x98	NOI	#6A	We did it...	
				It's the Master Gear of Wind!	
0x1343b	0x06	NOI		ANI_REMOVE	
0x134bb	0x06	komono05		ANI_STOP	
0x135ef	0xC1	System		obtained.	mp_0000 0x7558
0x1379e	0x06	ALTO		ANI_JOY	
0x137c3	0x40	ALTO	#6A	With this, we might be able	
				to revive the Yupina Grass!	
0x13826	0x40	NOI		Yeah, I'm sure we can!	
0x138cf	0x06	NOI		ANI_TAKE_OUT_END	
0x139ea	0x98	NOI		Quickly, let's restore the	
				continent climate to normal	
				using the Astrolabe!	
0x13a5a	0x06	ALTO		ANI_NOD	
0x13a7f	0x98	ALTO	#6A	Yeah...let's return to the garden!	
EV_4_S21_release_seal_m
